ts_event,publisher_id,product_id,open,high,low,close,volume
1641228420000000000,2,5966,170230000000,170290000000,170230000000,170230000000,986
1641228420000000000,2,7085,76260000000,76275000000,76260000000,76265000000,1725
1641228420000000000,2,2429,62760000000,62790000000,62755000000,62755000000,5617
1641228420000000000,2,5621,52535000000,52585000000,52530000000,52575000000,15173
1641228420000000000,2,6741,266440000000,266440000000,266350000000,266350000000,824
1641228420000000000,2,1763,206660000000,206820000000,206660000000,206820000000,627
1641228420000000000,2,11317,52830000000,52850000000,52820000000,52820000000,3503
1641228420000000000,2,7407,163750000000,163880000000,163750000000,163840000000,1708
1641228420000000000,2,2807,156110000000,156200000000,156080000000,156160000000,3064
1641228420000000000,2,1018,208750000000,208850000000,208750000000,208795000000,862
1641228420000000000,2,11438,143700000000,143750000000,143695000000,143695000000,1022
1641228480000000000,2,1763,206820000000,206930000000,206820000000,206930000000,111
1641228480000000000,2,508,224520000000,224600000000,224450000000,224530000000,1299
1641228480000000000,2,7085,76265000000,76310000000,76265000000,76270000000,1515
1641228480000000000,2,4941,404980000000,404980000000,404750000000,404750000000,785
1641228480000000000,2,8216,161065000000,161080000000,160990000000,160990000000,1180
1641228480000000000,2,1018,208790000000,208900000000,208790000000,208900000000,1468
1641228480000000000,2,2807,156170000000,156220000000,156170000000,156220000000,2475
1641228480000000000,2,2920,57290000000,57290000000,57270000000,57270000000,652
1641228480000000000,2,5321,135210000000,135270000000,135210000000,135270000000,492
1641228480000000000,2,5621,52580000000,52660000000,52580000000,52660000000,18986
1641228480000000000,2,11438,143700000000,143700000000,143650000000,143670000000,914
1641228480000000000,2,2556,119210000000,119240000000,119170000000,119200000000,2997
1641228480000000000,2,6978,176700000000,176700000000,176630000000,176630000000,73
1641228480000000000,2,986,167480000000,167530000000,167460000000,167460000000,595
1641228480000000000,2,10806,494880000000,494880000000,494650000000,494680000000,224
1641228480000000000,2,5966,170235000000,170240000000,170140000000,170150000000,1520
1641228480000000000,2,5099,206970000000,207090000000,206970000000,207020000000,1064
1641228480000000000,2,4755,393930000000,394080000000,393930000000,394080000000,349
1641228480000000000,2,7119,332600000000,332720000000,332430000000,332450000000,15707
1641228480000000000,2,6189,58730000000,58730000000,58700000000,58700000000,1428
1641228480000000000,2,10930,220900000000,221060000000,220880000000,221060000000,2215
1641228480000000000,2,6741,266230000000,266260000000,266110000000,266140000000,270
1641228480000000000,2,2429,62780000000,62800000000,62765000000,62765000000,2102
1641228480000000000,2,2391,252640000000,252640000000,252420000000,252420000000,1317
1641228480000000000,2,27,181620000000,181750000000,181610000000,181610000000,24564
1641228480000000000,2,5993,162130000000,162170000000,162130000000,162140000000,4268
1641228480000000000,2,7407,163850000000,163860000000,163820000000,163830000000,414
1641228480000000000,2,11291,52395000000,52395000000,52355000000,52355000000,1356
1641228480000000000,2,11317,52820000000,52850000000,52820000000,52840000000,2428
1641228480000000000,2,10579,155380000000,155400000000,155310000000,155310000000,126
1641228540000000000,2,6978,176600000000,176610000000,176380000000,176380000000,1429
1641228540000000000,2,10579,155390000000,155390000000,155240000000,155240000000,8
1641228540000000000,2,11317,52840000000,52840000000,52810000000,52810000000,2503
1641228540000000000,2,2807,156230000000,156260000000,156040000000,156050000000,2395
1641228540000000000,2,1018,208930000000,208960000000,208540000000,208540000000,1480
1641228540000000000,2,4755,394190000000,394370000000,394100000000,394110000000,106
1641228540000000000,2,508,224490000000,224570000000,224340000000,224340000000,1190
1641228540000000000,2,1763,206840000000,206840000000,206740000000,206740000000,775
1641228540000000000,2,2556,119220000000,119240000000,119180000000,119180000000,2174
1641228540000000000,2,7407,163840000000,163850000000,163660000000,163690000000,1470
1641228540000000000,2,6189,58700000000,58700000000,58690000000,58690000000,3070
1641228540000000000,2,7119,332430000000,332470000000,332370000000,332440000000,8808
1641228540000000000,2,5099,207020000000,207050000000,206820000000,206820000000,115
1641228540000000000,2,4941,404710000000,404710000000,404440000000,404580000000,686
1641228540000000000,2,10806,494650000000,494660000000,494570000000,494630000000,477
1641228540000000000,2,5621,52670000000,52680000000,52620000000,52640000000,11543
1641228540000000000,2,5321,135270000000,135280000000,135200000000,135200000000,439
1641228540000000000,2,11291,52350000000,52350000000,52340000000,52340000000,4779
1641228540000000000,2,5993,162200000000,162230000000,162110000000,162110000000,2345
1641228540000000000,2,27,181610000000,181680000000,181610000000,181630000000,14586
1641228540000000000,2,5966,170140000000,170140000000,170110000000,170130000000,914
1641228540000000000,2,11438,143650000000,143670000000,143640000000,143640000000,1503
1641228540000000000,2,7085,76260000000,76270000000,76240000000,76260000000,2724
1641228540000000000,2,2429,62770000000,62790000000,62770000000,62770000000,2376
1641228540000000000,2,6741,266150000000,266150000000,265840000000,265840000000,359
1641228540000000000,2,2920,57270000000,57270000000,57210000000,57210000000,813
1641228540000000000,2,10930,221040000000,221120000000,221020000000,221020000000,2722
1641228540000000000,2,8216,160995000000,161020000000,160980000000,161020000000,1343
1641228540000000000,2,986,167580000000,167590000000,167250000000,167250000000,1038
1641228540000000000,2,2391,252450000000,252510000000,252380000000,252510000000,895
1641228600000000000,2,986,167280000000,167400000000,167210000000,167315000000,1585
1641228600000000000,2,7085,76250000000,76310000000,76245000000,76310000000,1885
1641228600000000000,2,5966,170130000000,170160000000,170060000000,170130000000,520
1641228600000000000,2,5099,206800000000,206830000000,206690000000,206690000000,2402
1641228600000000000,2,27,181620000000,181620000000,181460000000,181560000000,26816
1641228600000000000,2,2807,156040000000,156120000000,156000000000,156000000000,2467
1641228600000000000,2,7407,163660000000,163730000000,163560000000,163560000000,1065
1641228600000000000,2,11291,52330000000,52365000000,52330000000,52360000000,2788
1641228600000000000,2,10579,155220000000,155340000000,155220000000,155340000000,46
1641228600000000000,2,1763,206700000000,206800000000,206700000000,206800000000,379
1641228600000000000,2,6741,265900000000,265910000000,265900000000,265900000000,181
1641228600000000000,2,2429,62760000000,62775000000,62740000000,62740000000,3454
1641228600000000000,2,2391,252480000000,252550000000,252100000000,252200000000,1392
1641228600000000000,2,11317,52790000000,52810000000,52780000000,52780000000,1948
1641228600000000000,2,5321,135160000000,135170000000,135130000000,135170000000,372
1641228600000000000,2,5621,52640000000,52640000000,52595000000,52595000000,10763
1641228600000000000,2,508,224340000000,224520000000,224300000000,224520000000,280
1641228600000000000,2,11438,143630000000,143660000000,143630000000,143650000000,620
1641228600000000000,2,4941,404330000000,404350000000,404150000000,404350000000,659
1641228600000000000,2,4755,393940000000,394400000000,393940000000,394140000000,753
1641228600000000000,2,7119,332430000000,332450000000,331900000000,331920000000,20661
1641228600000000000,2,6189,58680000000,58710000000,58680000000,58710000000,833
1641228600000000000,2,2920,57210000000,57230000000,57200000000,57210000000,2052
1641228600000000000,2,10806,494500000000,494640000000,494360000000,494510000000,838
1641228600000000000,2,8216,161030000000,161090000000,161030000000,161060000000,2184
1641228600000000000,2,1018,208570000000,208740000000,208500000000,208630000000,1369
1641228600000000000,2,10930,220930000000,221030000000,220850000000,220960000000,1393
1641228600000000000,2,5993,162090000000,162220000000,162070000000,162140000000,4711
1641228600000000000,2,2556,119170000000,119220000000,119120000000,119120000000,4459
1641228600000000000,2,6978,176380000000,176460000000,176360000000,176460000000,441
1641228660000000000,2,6978,176420000000,176430000000,176380000000,176380000000,526
1641228660000000000,2,2920,57210000000,57210000000,57185000000,57185000000,688
1641228660000000000,2,7119,331890000000,331920000000,331810000000,331870000000,21287
1641228660000000000,2,5099,206680000000,206680000000,206530000000,206600000000,1893
1641228660000000000,2,5966,170150000000,170170000000,170140000000,170170000000,831
1641228660000000000,2,2391,252110000000,252170000000,252090000000,252120000000,1087
1641228660000000000,2,508,224490000000,224550000000,224400000000,224480000000,1645
1641228660000000000,2,1763,206810000000,206880000000,206730000000,206730000000,564
1641228660000000000,2,11291,52360000000,52390000000,52360000000,52390000000,2654
1641228660000000000,2,7407,163520000000,163620000000,163520000000,163590000000,678
1641228660000000000,2,10930,220920000000,221080000000,220880000000,221060000000,2521
1641228660000000000,2,6189,58710000000,58720000000,58705000000,58720000000,997
1641228660000000000,2,4941,404335000000,404520000000,404335000000,404400000000,432
1641228660000000000,2,10579,155240000000,155340000000,155240000000,155290000000,793
1641228660000000000,2,11317,52780000000,52790000000,52780000000,52790000000,634
1641228660000000000,2,11438,143640000000,143680000000,143640000000,143680000000,614
1641228660000000000,2,2429,62730000000,62760000000,62725000000,62760000000,3100
1641228660000000000,2,5621,52590000000,52590000000,52555000000,52580000000,9451
1641228660000000000,2,2556,119110000000,119120000000,119040000000,119090000000,6068
1641228660000000000,2,5993,162130000000,162130000000,162020000000,162020000000,2387
1641228660000000000,2,2807,155990000000,156100000000,155990000000,156070000000,3325
1641228660000000000,2,1018,208610000000,208630000000,208390000000,208470000000,899
1641228660000000000,2,27,181560000000,181580000000,181460000000,181570000000,20344
1641228660000000000,2,8216,161050000000,161140000000,161050000000,161140000000,1516
1641228660000000000,2,4755,394060000000,394100000000,393940000000,394040000000,566
1641228660000000000,2,10806,494370000000,494500000000,494300000000,494390000000,275
1641228660000000000,2,7085,76305000000,76340000000,76305000000,76340000000,2036
1641228660000000000,2,986,167240000000,167360000000,167240000000,167310000000,953
1641228660000000000,2,5321,135150000000,135210000000,135140000000,135190000000,979
1641228660000000000,2,6741,265920000000,266020000000,265890000000,266000000000,1120
1641228720000000000,2,986,167250000000,167370000000,167235000000,167330000000,797
1641228720000000000,2,11438,143690000000,143700000000,143670000000,143700000000,4409
1641228720000000000,2,27,181570000000,181670000000,181510000000,181660000000,19966
1641228720000000000,2,7119,331860000000,331920000000,331730000000,331870000000,13100
1641228720000000000,2,10930,221060000000,221110000000,220980000000,221000000000,1467
1641228720000000000,2,1763,206755000000,206810000000,206755000000,206810000000,253
